time	V(vin)	V(n001)
3.002436110345688e-002	5.000000e+000	1.922710e-002
3.002574835481502e-002	5.000000e+000	1.302351e-002
3.002713665360142e-002	5.000000e+000	8.816280e-003
3.002851767793651e-002	5.000000e+000	5.978956e-003
3.002989973949119e-002	5.000000e+000	4.053677e-003
3.003127822722308e-002	5.000000e+000	2.750833e-003
3.003265833653321e-002	5.000000e+000	1.865883e-003
3.003403611328939e-002	5.000000e+000	1.266356e-003
3.003541508952666e-002	5.000000e+000	8.591875e-004
3.003679250118495e-002	5.000000e+000	5.831668e-004
3.003817087358707e-002	5.000000e+000	3.957205e-004
3.003954820625292e-002	5.000000e+000	2.692697e-004
3.004104016880002e-002	5.000000e+000	1.781412e-004
3.004267852595662e-002	5.000000e+000	1.138255e-004
3.004470737840808e-002	5.000000e+000	6.572618e-005
3.004708654797953e-002	5.000000e+000	3.463466e-005
3.005021026360710e-002	5.000000e+000	1.518898e-005
3.005428399990015e-002	5.000000e+000	5.260408e-006
3.006034630969432e-002	5.000000e+000	1.152432e-006
3.007019241454721e-002	5.000000e+000	5.282695e-008
3.364019241454790e-002	5.000000e+000	3.568793e-009
3.500000000085039e-002	5.000000e+000	3.555346e-009
3.500000100000000e-002	5.000000e+000	3.515049e-009
3.500000100219813e-002	4.989009e+000	-3.405251e-005
3.500000100659440e-002	4.967028e+000	-1.021679e-004
3.500000113848215e-002	4.307589e+000	-2.145687e-003
3.500000127916241e-002	3.604188e+000	-4.323280e-003
3.500000156052294e-002	2.197385e+000	-8.646538e-003
3.500000200000000e-002	0.000000e+000	-1.533059e-002
3.500000200096719e-002	0.000000e+000	-1.533001e-002
3.500000200290155e-002	0.000000e+000	-1.532885e-002
3.500000652986721e-002	0.000000e+000	-1.262687e-002
3.500001105683288e-002	0.000000e+000	-9.925472e-003
3.500001558379854e-002	0.000000e+000	-7.224663e-003
3.500002011076420e-002	0.000000e+000	-4.524442e-003
3.500002463772987e-002	0.000000e+000	-1.824809e-003
3.500002916469553e-002	0.000000e+000	8.742361e-004
3.500003369166119e-002	0.000000e+000	3.572693e-003
3.500006538428957e-002	0.000000e+000	2.245128e-002
3.500012040297387e-002	0.000000e+000	5.518338e-002
3.500017641354591e-002	0.000000e+000	8.845107e-002
3.500026642147520e-002	0.000000e+000	1.418065e-001
3.500035780794571e-002	0.000000e+000	1.958393e-001
3.500045876307074e-002	0.000000e+000	2.553257e-001
3.500056710576533e-002	0.000000e+000	3.188595e-001
3.500078379115451e-002	0.000000e+000	4.449131e-001
3.500121716193287e-002	0.000000e+000	6.932403e-001
3.500208390348960e-002	0.000000e+000	1.175719e+000
3.500341126244555e-002	0.000000e+000	1.870203e+000
